ID,Full Text
34,HAPPY BIRTHDAY TO OUR FAVORITE @taylorswift13! 💕🥂THANK YOU FOR EVERYTHING! #HappyBirthdayTaylorSwift (Throwback to the best birthday cake ever!! 🎂) https://t.co/JnTzTvZwSx
35,Choosing @taylorswift13 as my role model in 2007 was the best decision I could have made. I am so grateful to have grown up along side Taylor and to have supported her through everything. #HappyBirthdayTaylorSwift I love you so so much and miss you incredibly. @taylornation13 https://t.co/RYzeagQQqg
36,haaaaaaaaappy birthday taylor!!!!! i loooove love love you- always have the best days with you🫶🫶🫶 #HappyBirthdayTaylorSwift @taylornation13 https://t.co/tKye7c9LSO
37,Hello friends new Motovlog out on YouTube #AskSonic ##BellaOkagbue #HappyBirthdayTaylorSwift #RIPZahara https://t.co/jv2yi5wNKT
38,Happiest Christmas Family T-Shirt https://t.co/Xcgnciv59f #santachat #HappyBirthdayTaylorSwift #NintendoSwitch2023 #RazerHolidayGiveaway #Kicksmas #tesla #Christmas2023 #ChristmasJumperDay #ChristmasCatWishlist #Christmasgifts #ChristmasTree #ChristmasChallenge #ChristmasActually https://t.co/9mxGXCyIXb
39,Happy birthday to the greatest human on earth 🫶🏼💗 @taylorswift13 #HappyBirthdayTaylorSwift https://t.co/McoPxV1xbj
40,As someone who inspires so much love and happiness in the world @taylorswift13 you deserve the best day today and everyday !!!💖🥳 #HappyBirthdayTaylorSwift We love you so much!!!!🫶🏼 @taylornation13 https://t.co/3YlS6pp4u8
41,@taylornation13 #HappyBirthdayTaylorSwift shoutout to the woman that has helped shape my sister and i since 2006. you have given us such an unbreakable bond. ❤️ https://t.co/VHpu7t6cqg
42,#HappyBirthdayTaylorSwift #TaylorSwift #Swiftie https://t.co/uUrTaA2mAv
43,"happy birthday @taylorswift13 🤍 thank you for being by my side since 4th grade, you are the absolute best. you’ve given me the best friends and the best memories, and I am forever grateful. 🩷 #HappyBirthdayTaylorSwift @taylornation13 https://t.co/hT6xGQ0ZJp"
44,Dm now for best iptv setup https://t.co/StSyjyRzg9 @Parliament_Fc 3-0 @EA_Bunge #EALAGames13 | #HomeOfUgandanSport #HappyBirthdayTaylorSwift #jjk245 #SalaarFirstSingle #BellaOkagbue https://t.co/GH7wBn4C3U
45,late to the party bc i’m at work but once again #HappyBirthdayTaylorSwift i love you so much https://t.co/CYG919Ihvc
46,I knew you'd linger like a tattoo kiss 🫶 @taylorswift13 I loved you from the very first day @taylornation13 #HappyBirthdayTaylorSwift https://t.co/cIMle5IONh
47,"Bawling eyes out again on the Folklore set, especially ""Betty"" and Illicit Affairs. 🥹 #ErasTourExtendedVertion #ErasTour #HappyBirthdayTaylorSwift"
48,"#HappyBirthdayTaylorSwift thank you for all the memories this year and every year you’ve been in my life. You mean so much, and I’m grateful to be fighting dragons with you forever 🫶🏻 @taylorswift13 @taylornation13 https://t.co/29VlX8Gorx"
49,happy birthday to my biggest idol. you inspire me so much and i’m so blessed to live at the same time as you. thank you for all that you do @taylorswift13 #HappyBirthdayTaylorSwift https://t.co/cq4TaxsB7t
50,#HappyBirthdayTaylorSwift 🫡❤️‍🔥 https://t.co/lZf2PKUsEo
51,👸🏼🫶🏻🎂#HappyBirthdayTaylorSwift https://t.co/CGa8gGd751
52,Wait for it😂 #fcklive #jjk245 #Thaman #HappyBirthdayTaylorSwift #PSL9 #PSL9Draft #ไอซ์รักชนก #Ukraine https://t.co/qTZXhRNB67
53,Pufferfish vs moray eel: who would win? #WednesdayClub #WednesdayFeeling #WednesdayMotivation #wednesdaythought #Wednesdayvibe #HappyBirthdayTaylorSwift https://t.co/5K1ESstP47
54,Happy Birthday to one of my most favorite artists since I was 8 years old🩵 #HappyBirthdayTaylorSwift #ts #TAYLORSDAY #taylorswiftbirthday #swiftie @taylorswift13 https://t.co/d3biQN57uq
55,Dm now for best iptv setup https://t.co/uWX11EplPc @Parliament_Fc 3-0 @EA_Bunge #EALAGames13 | #HomeOfUgandanSport #HappyBirthdayTaylorSwift #jjk245 #SalaarFirstSingle #BellaOkagbue https://t.co/49zauNCJ9n
56,heard it was someone’s birthday..?? or should i say.. birthTAY #HappyBirthdayTaylorSwift https://t.co/cKdSww8g83
57,"Happy 34th birthday to the woman who single-handedly saved my life. I love you so much. thank you for creating a safe place for me to be myself and to allow myself to feel every single emotion and tackle every challenge head first, fearless 🫶🏻🫶🏻💖💖 #HappyBirthdayTaylorSwift https://t.co/ZVJ7At9jqK"
58,"Happy birthday @taylorswift13 🫶🏼🎉🤍 I truly have had the time of my life with you! Growing up with you, feeling seen and validated with your music, and having you as a role model since I was little girl has been everything. I love you forever & always! #HappyBirthdayTaylorSwift https://t.co/STAzV3EILN"
59,Happy birthday Taylor Swift 🥰 . We love you!!!!!!!! #HappyBirthdayTaylorSwift
60,"happy birthday to the person who has brought me some much joy and love and has made a community (mostly) full of happiness and comfort. i have made so many friends, had so many experiences and do so much because of you. #HappyBirthdayTaylorSwift 🫶 https://t.co/i38VRlRgxA"
61,RT if you love food 😁 #HappyBirthdayTaylorSwift https://t.co/epUBhM44RC
62,"Happy Birthday, Tay!! Thank you for everything, I'll forever be by your side. I love you so much 🩷 #HappyBirthdayTaylorSwift https://t.co/1AcJI86rbo"
63,arranging notes but watching #TSTheErasTourAtHome to celebrate the taylor's birthday and because mom said that study it's good💗 #HappyBirthdayTaylorSwift https://t.co/0iE1yMA4EV
64,Eating candy and railing @OhItsEmmaRose 😈🍭🔥 this was a vibe… 0ut on my 0F this weekend which is haIf 0FF to celebrate 🤤🤑🥵 Enjoy xx #HappyBirthdayTaylorSwift #Thaman https://t.co/RpjuMHM2SE
65,🇺🇸 Spend 100$ Towards Wingstop 💰💰💰💰 🔥Enter your information now for a chance to win🔥 👉 https://t.co/IA9VIj7AIm #Hunter #JimJordan #HappyBirthdayTaylorSwift #Draymond #Tory #FOMC #SantaChat #GrownWoman #NintendoSwitch2023 #Kicksmas #Tesla #Kelsey
66,"WHEN I’M FEELING ALONE, YOU REMIND ME OF HOME🥰 #HappyBirthdayTaylorSwift @taylorswift13 @taylornation13 https://t.co/oLMyh0dhVG"
67,Happy Birthday Taylor Swift 🩷🥰✨️ I wanna just thank you Taylor for saving my life and continuing to help me through. ❤️ I love you forever 🇦🇷🩷 #HappyBirthdayTaylorSwift #TSTheErasTourAtHome @taylorswift13 @taylornation13 https://t.co/6pIcv3o1gv
68,IT IS QUEEN'S BIRTHDAY. happy birthday Taylor🫶🏻 #HappyBirthdayTaylorSwift
69,when i was a kid all i wanted was to be a princess and meet a real life one. guess what? little lola was enchanted to see a real life princess 25 days ago 💜 happy birthday to the princess i always wanted to meet @taylorswift13 ✨ #HappyBirthdayTaylorSwift @taylornation13 https://t.co/bGOI3e9tWl
70,https://t.co/OXPwS8PmLs #HappyBirthdayTaylorSwift #ChampionsLeague #Vinted #Rayban #MerryChristmas
71,Tommy 💖✨🙂🥰 #ไอซ์รักชนก #jjk245 #bist100 #SalaarFirstSingle #RIPZahara #fcklive #fcklive #HappyBirthdayTaylorSwift #Thaman #Ukraine #BellaOkagbue https://t.co/xsRf3PSeVi
72,Life is ruff 😒💛 #HappyBirthdayTaylorSwift #Hunter #GymJordan #puppy #goldenretriever https://t.co/vIJDQbAEiJ
73,"Hold on to the memories & they will hold on to you 🥹🫶🏻 Happy Birthday, @taylorswift13 🧡#HappyBirthdayTaylorSwift @taylornation13 https://t.co/IxQqJCazEg"
74,#HappyBirthdayTaylorSwift 💗💗💗
75,"selling lower bowl tickets to Taylor swift eras tour on Oct 19 (10/19) in hard rock stadium, Miami. #TaylorSwift #1989TaylorsVersion #TaylorSwiftTheErasTour #TSTheErasTour #TSTheErasTourAtHome #TSTheErasTourFilm #HappyBirthdayTaylorSwift #taylorswiftbirthday #TAYLORSDAY https://t.co/8mZCb9WJxW"
76,"happy birthday mom! i love and miss you so much, i’ll wish you the happiest day ever! #HappyBirthdayTaylorSwift @taylornation13 @taylorswift13 https://t.co/vR0dXtxRYh"
77,Her Pain (Album) https://t.co/uo6HN6UIb0 #Newmusic #HipHopMusic #music #fcklive #HappyBirthdayTaylorSwift #RetweeetPlease #youtubechannel #YouTubeMusic #FolloMe
78,Dm now for best iptv setup https://t.co/vDrkyXe0ZM @Parliament_Fc 3-0 @EA_Bunge #EALAGames13 | #HomeOfUgandanSport #HappyBirthdayTaylorSwift #jjk245 #SalaarFirstSingle #BellaOkagbue https://t.co/uPnGoabPEs
79,HAPPY BIRTHDAY TAYLOR!!! WE LOVE YOU SO MUCH! Thank you for all the magic in our life and being an inspiration everyday! 🥺💗🫶🏼 we hope you have the best day ever! #HappyBirthdayTaylorSwift https://t.co/gppyFaPD1Y
80,Happy B-day to the woman who has changed me from the girl i was to the young woman i am today! Taylor I am forever grateful for you & astonished by the art you make. hope you have the happiest b-day ever🫶 I LOVE U SO MUCH.#HappyBirthdayTaylorSwift @taylorswift13 @taylornation13 https://t.co/UepgHFKZb2
81,#HappyBirthdayTaylorSwift we’ve had some of the best memories together this year. I’ve had the time of my life with you. I can’t wait to see what 34 brings you. We love you forevermore 🤍@taylorswift13 @taylornation13 https://t.co/6Q5kRLRldJ
82,"Some of the best days of my life were spent celebrating Taylor with my best friends. 🥹✨ Happy 34th birthday to the person and artist of the year, my life, the century, and so on!!! #HappyBirthdayTaylorSwift @taylornation13 @taylorswift13 @lynziekate https://t.co/vwV9s6tyUu"
83,"Taylor, you broke into the music world and my life when I was so young I can't remember a world without you. Nevertheless, I know the world is better with you in it. Thank you for being the best older sister/role model ever. Happy BirthTAY🎂🫶🥳 #HappyBirthdayTaylorSwift"
84,I couldn’t have asked for a better mother daughter experience and I owe it all to #TaylorSwift!! HAPPY BIRTHDAY QUEEN/MOTHER/GODDESS !! #HappyBirthdayTaylorSwift https://t.co/aS7c6YwFKO
85,happy birthday taylor!!! i love you so much💘 thank you for the unforgettable memories we got to make together this year. i will cherish them forever🥲🤍 here’s to many more!🫶🏻 #HappyBirthdayTaylorSwift https://t.co/FfpRmj6t6c
86,"Happy birthTay to my favorite person! I could stay, I’ve been staying since 2008 and I’ll stand by Taylor forever and always. I was enchanted to have the time of my life with you @taylorswift13. Eu te amo! ❤️‍🩹 #HappyBirthdayTaylorSwift @taylornation13 https://t.co/9NQPO30hCG"
87,Dm to buy xxxx Active rn #BellaOkagbue #bist100 #fcklive #HappyBirthdayTaylorSwift #jjk245 https://t.co/FBVCVFT4vb
88,happy birthday to the one constant in my life for almost 12 years <3 I love you always birthday girl @taylorswift13 !!! 💗💗🥰🍰💌 @taylornation13 #HappyBirthdayTaylorSwift https://t.co/DgpaJptQG7
89,#Oprah knew that no one would EVER HEAR the other side of the story in her SUSSEX INTERVIEW. I used to love #OprahWinfrey - But now I'm sick of the one-sidedness of her interviews and Scobie's books. #HappyBirthdayTaylorSwift #HarryandMeghan #MeghanMarkle #PrincessofWales https://t.co/XyD6kMFgDO
90,HAPPY BIRTHDAY TO THE ONE WHO MADE MY 2023 GREATER I LOVE YOU MORE THAN WORDS CAN EXPLAIN🥹🫶🏼 #HappyBirthdayTaylorSwift @taylornation13 @taylorswift13 https://t.co/YQ27Qjrami
91,Dm now for best iptv setup https://t.co/V8iFVV4vkJ @Parliament_Fc 3-0 @EA_Bunge #EALAGames13 | #HomeOfUgandanSport #HappyBirthdayTaylorSwift #jjk245 #SalaarFirstSingle #BellaOkagbue https://t.co/MJNV7wz2bI
92,"Happy Birthday @taylorswift13 !!! I’ve celebrated A LOT of birthdays with you, but each year I become a little more proud of you🤍 There is so much to celebrate this year, thank you for all that you do. Love you, miss you, see you in Toronto soon🤍🤍 #HappyBirthdayTaylorSwift https://t.co/JtoaBchMQe"
93,"happy birthday to the one who has brought so much joy into my life, i don’t know where i would be without you or your music🫶🏻 I LOVE YOU p.s. i love using emojis too💚🤠💛🐎💜🐉❤️🧣🩵🏙️🖤🐍🩷🏹🩶🌲🤎🍂💙🌌 #HappyBirthdayTaylorSwift @taylorswift13 @taylornation13 https://t.co/usCzZXRHp0"
94,Good morning to Taylor Swift🩵 @taylorswift13 #HappyBirthdayTaylorSwift
95,#HappyBirthdayTaylorSwift https://t.co/lemp7lRIXN
96,"Happy 34th birthday to the one & only! The person who's inspired my Halloween costumes, Birthday cakes (I'm also ♐️) and art over the past 18(and counting) years! @taylornation13 #HappyBirthdayTaylorSwift https://t.co/zWQ20gBheG"
97,#HappyBirthdayTaylorSwift !!!
98,#HappyBirthdayTaylorSwift we all love you so much! We hope you have the best day 🤍@taylorswift13 @taylornation13 https://t.co/ZrynkGFEqq
99,Happy Birthday taylor!!!!! we love you so incredibly much <3 #HappyBirthdayTaylorSwift ❤️‍🩹❤️‍🩹
100,This adorable princess is her birthday today and she turns 34. she's a star she's fantastic I love her ... I love everything about her ❤️ #HappyBirthdayTaylorSwift @taylorswift13 https://t.co/Rfe1F4T0rw
101,"Hey, play PICKS on Sleeper and use code RF-themillionare345 on your first deposit to get up to a $100 deposit match! https://t.co/LGFpLdxRff #BellaOkagbue #HappyBirthdayTaylorSwift #money"
102,"Renowned for his strength and agility, he dominated in wrestling, horseback riding, and even tried his hand at dancing—perhaps not the most graceful! #GeorgeWashington #AthleticLegacy #PresidentialStrength #SantaChat #HunterBiden #HappyBirthdayTaylorSwift https://t.co/ClJ6v009pH"
103,"For 13 years you’ve taught me how to be happy and free; what love means, how to overcome hard times and that it’s okay to be different. Oh and also you’ve taught me English!!! Forevermore with u! Happy birthday queen! ✨ @taylorswift13 #HappyBirthdayTaylorSwift @taylornation13 https://t.co/GPc8QZtvsB"
104,"Happy Birthday @taylorswift13! You have retaken over my life and bank account lol. Hope today is just as amazing as you are! BTW this is not including all my hoodies, cardigan, long sleeve and Christmas ornament! @taylornation13 #HappyBirthdayTaylorSwift https://t.co/7BzJLlr6lF"
105,"Since it's been this so far All Week: for #Women @TaylorSwift13 #HappyBirthdayTaylorSwift 🎂🍰🎉 I'm #Sorry for all the Misunderstandings, and Sorry I misread your #SwimmingPool during the #ErasTour. Thank you.🥰🙏 Ich Hoffe, du hast einen Schönen #Geburtstag. https://t.co/ZUQbo4w3z3"
106,Kindness is the golden chain by which society is bound together. #HappyBirthdayTaylorSwift
107,"I’m selling tickets to taylor swift eras tour for Oct 26,(10/26) at Caesars Superdome, New Orleans #TaylorSwift #1989TaylorsVersion #TSTheErasTourFilm #TSTheErasTour #TaylorSwiftTheErasTour #TSTheErasTourAtHome #TSErasTheExperience #HappyBirthdayTaylorSwift #TAYLORSDAY #swifties https://t.co/uWGV0svAkT"
108,"On the other hand, @WhiteHouse might want this fight. They might have internal polling that shows public sympathy for Hunter Biden's struggle with addiction and mental health? We poll everything before rolling out any strategy!! 🤭💃🏼🏀 #MFFL #HappyBirthdayTaylorSwift"
109,I LOVE WATCHING THE BALLONS GO UP @taylornation13 @taylorswift13 #HappyBirthdayTaylorSwift https://t.co/DWhe4HGCpF
110,#HappyBirthdayTaylorSwift https://t.co/RqCuSzl3No
111,#HappyBirthdayTaylorSwift https://t.co/9978LybRIl
112,"#HappyBirthdayTaylorSwift happy birthday to the queen of my heart, thank you for your music and for being the amazing person you are. and thank you for the best day of my life!!! 🥹🫶🏻💛 i love you beyond words could describe @taylorswift13 https://t.co/EK55NhmDUl"
113,and you want to scream a big #HappyBirthdayTaylorSwift ! celebrating you and all the memories i hold on to with you is easily my favorite thing to do! my love and support for you will always be timeless! 🦋🫶💜❤️🩵🐍🩷🪩🥂🕰️ https://t.co/v20PmEYdZA
114,happy birthday to the woman who truly saved me 🫶🏻 i miss you 🥲 @taylornation13 @taylorswift13 #HappyBirthdayTaylorSwift https://t.co/X4YQzfwpCe
115,"dear taylor,thank you for being there for me, for all of us,thank you for your amazing music,thank you for the comfort you give us,thank you for all the things you got me through,thank you for saving me in every way possible.I love you (forevermore) 🫶#HappyBirthdayTaylorSwift"
116,"#HappyBirthdayTaylorSwift , thanks for putting a smile on my face for so many years 🫶 https://t.co/19WtdQOC4U"
117,Dm now for best iptv setup https://t.co/scvV0AsqbV @Parliament_Fc 3-0 @EA_Bunge #EALAGames13 | #HomeOfUgandanSport #HappyBirthdayTaylorSwift #jjk245 #SalaarFirstSingle #BellaOkagbue https://t.co/EGuqyFHM0L
118,Happy birthday Tay❤️ You are the most beautiful and kind person that ever existed. #HappyBirthdayTaylorSwift I will always love you to the moon and to saturn 🤍 @taylornation13 @taylorswift13 https://t.co/gcMnapU1Zg
119,You give before you get. #LoveMeEnough #HappyBirthdayTaylorSwift
120,Buy Verified Cash App Accounts 24-hour Reply/Contact. Email: Usasmmclub@gmail.com WhatsApp: +1 (208) 495-5327 Skype: Usasmmclub Telegram: @Usasmmclub https://t.co/Cf1gB04KDP #SantaChat #GymJordan #HunterBiden #HappyBirthdayTaylorSwift #Draymond #TexasandCalifornia https://t.co/1DK8VATC4q
121,Thankful to grow up in a world with @taylorswift13 in it 💜#HappyBirthdayTaylorSwift https://t.co/VpSg0hsAXt
122,#HappyBirthdayTaylorSwift 👑🎂 i can’t explain how grateful i am for you. also how grateful i am to share the love i have for you with my best friends 🫶🏻 https://t.co/VEhWNoCXit
123,https://t.co/81rjnwg9Ny #HappyBirthdayTaylorSwift
124,#HappyBirthdayTaylorSwift but it's also the anniversary of me finding taylor.. it’s been one thousand and 95 days of our love blackout.. 🙁🫶🏻 @taylornation13 @taylorswift13 https://t.co/VqzSRSur7W
125,#AAA2023 #ChampionsLeague #jjk245 #SalaarFirstSingle #RIPZahara #HappyBirthdayTaylorSwift #DEBAT #Ukraine https://t.co/kpghMt8wJP
126,Pika couldn’t wait to wish @taylorswift a happy birthday @taylornation13 #HappyBirthdayTaylorSwift https://t.co/UWw9nmGn5O
127,"#HappyBirthdayTaylorSwift Even though i became a fan later than most, i just wanted to thank Taylor for all the songs we get to sing, and the stories we get to tell because of them, happy 34th!! https://t.co/UkqQZRghFs"
128,Buy Negative Google Reviews - Boost Bizs https://t.co/McmxkeOIKA #JimJordan #SantaChat #GymJordan #HunterBiden #HappyBirthdayTaylorSwift #Draymond #TexasandCalifornia #AlexGarland #ContemptofCongress #WheresHunter #Kicksmas #Tory #CaliforniaandTexas #KungFuPanda4
129,"#HappyBirthdayTaylorSwift 🎂 You’ve created the soundtrack to my existence, you’ve created a community of fans that I truly see as friends & your shows have been a highlight of my life. I appreciate the human you are & hope you have a wonderful & memorable day! 🥳 https://t.co/m4v1fHbqgy"
130,Oh hi @taylorswift13‼️ Just wanted to wish you the happiest birthday! Thank you for going through life with us since middle school by giving us music through every walk of life. Can’t wait to raise my little swiftie to love you as much as I do 🫶🏼🥳🎂 #HappyBirthdayTaylorSwift https://t.co/ZyObm6jNtY
131,HAPPY BIRTHDAY FELLOW DECEMBER GIRLIE (and that’s the truth from my red lips) @taylornation13 #HappyBirthdayTaylorSwift 🎈🎂 https://t.co/8fTpjr9wUE
132,"happy 34th birth-TAY taylor 🫶🏻 i promise we will be by your side always🥹& thank you for being the most inspiring and generous person EVER to your fans i’m so incredibly proud of you, i love you to the moon and to saturn @taylornation13 @taylorswift13 #HappyBirthdayTaylorSwift https://t.co/ZN2UnaWAox"
133,"I’m selling lower bowl Taylor Swift tickets to the eras tour on November 2, (11/2) at Lucas Oil Stadium, Indianapolis #TaylorSwift #TSTheErasTour #TSTheErasTourFilm #1989TaylorsVersion #TaylorSwiftTheErasTour #HappyBirthdayTaylorSwift #TSTheErasTourAtHome #TAYLORSDAY #wtb https://t.co/qJydPmnR9J"
134,https://t.co/CRFnxjUEFs #HappyBirthdayTaylorSwift
135,"Happy bday @taylorswift13 🎂Your music has been a constant in my life for the past 17 years. I’ve watched u grow since you were just a 16 yo w/raw talent, an impeccable work ethic, & big dreams. To see the person & artist you’ve become fills me w/pride. #HappyBirthdayTaylorSwift"
136,"Thank you for all the years so far, for all the songs the touched me and made me feel good in times of need. For your energy, kindness and love. You deserve the world. ✨✨❤️ @taylorswift13 @taylornation13 #HappyBirthdayTaylorSwift https://t.co/GCufq22C2u"
137,reputation I see you. #TSTheErasTourAtHome #HappyBirthdayTaylorSwift https://t.co/rsI9e11Srh
138,Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love. #HappyBirthdayTaylorSwift
139,"Happy birthday to my little sister and my favorite artist! To celebrate, here’s photos of us at Taylor’s shows 10 years apart :’) #HappyBirthdayTaylorSwift @taylornation13 @taylorswift13 https://t.co/YGI4zxHcm2"
140,"Happy birthday, @taylorswift13 💕 thanks for the memories, the friends, and the memories with friends 🫶🏻#HappyBirthdayTaylorSwift https://t.co/u4R2W9N1X6"
141,When people are like each other they tend to like each other. #HappyBirthdayTaylorSwift #LightningStrikes
142,"no one can make a joke about her emojis (today) it's her birthday, she make the rules #HappyBirthdayTaylorSwift https://t.co/Hj1wgKpNVl"
143,#HappyBirthdayTaylorSwift HBD!
144,#HappyBirthdayTaylorSwift ❤ your music has been in my life for the past 14 years and making my every day better. You're my biggest inspiration 💙 https://t.co/IZ8ihccQkJ
145,"Put yourselves in their places, will you bear all these massacres? #Gazastreifen #Gaza_Genocide #GazaHolocaust #غزه_تقاوم #ابو_عبيده #فلسطين_الان #فلسطين #jjk245 #SalaarFirstSingle #RIPZahara #ZaraBoycott #HappyBirthdayTaylorSwift #DEBAT #ChampionsLeague #AAA2023 https://t.co/xMZiC7swcg"
146,https://t.co/3K7S2arVF8 #HappyBirthdayTaylorSwift
147,Happiest Birthday Queen @taylorswift13 and thanks for saving lives through your music. #HappyBirthdayTaylorSwift
